ticket_id,order_date,restaurant,meal_period,menu_item,item_category,quantity,unit_price,revenue,booking_source,guest_count,table_id
R20003,2025-01-01,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,1,T07
R20090,2025-01-01,Bella Roma,Lunch,Risotto ai Funghi,Pasta,1,19,19,Walk-in,4,T08
R20103,2025-01-01,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Online,4,T12
R20272,2025-01-01,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Phone,4,T17
R20379,2025-01-01,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,3,T13
R20495,2025-01-01,La Trattoria,Dinner,Panna Cotta,Dessert,1,7,7,Online,3,T10
R20499,2025-01-01,Bella Roma,Lunch,Diavola,Pizza,1,16,16,Online,4,T21
R20872,2025-01-01,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Walk-in,3,T10
R21062,2025-01-01,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Phone,2,T22
R21068,2025-01-01,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,4,T02
R21076,2025-01-01,Bella Roma,Lunch,Diavola,Pizza,3,16,48,Phone,2,T08
R20121,2025-01-02,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Online,5,T07
R20132,2025-01-02,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,2,T17
R20403,2025-01-02,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,1,T07
R20647,2025-01-02,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,4,T03
R20786,2025-01-02,Il Capriccio,Dinner,Sparkling Water,Drinks,2,4,8,Online,4,T03
R20160,2025-01-03,Il Capriccio,Lunch,House Wine,Drinks,1,12,12,Online,2,T07
R20213,2025-01-03,Bella Roma,Lunch,Lasagna,Pasta,1,18,18,Partner App,3,T23
R20277,2025-01-03,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Online,4,T15
R20584,2025-01-03,La Trattoria,Lunch,Lasagna,Pasta,2,18,36,Phone,3,T18
R20633,2025-01-03,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Walk-in,2,T14
R20665,2025-01-03,Il Capriccio,Lunch,Sparkling Water,Drinks,1,4,4,Online,2,T08
R20673,2025-01-03,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Online,3,T07
R20873,2025-01-03,La Trattoria,Dinner,Sparkling Water,Drinks,3,4,12,Online,6,T14
R21151,2025-01-03,Il Capriccio,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,5,T19
R20085,2025-01-04,La Trattoria,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,2,T13
R20156,2025-01-04,La Trattoria,Dinner,Lasagna,Pasta,1,18,18,Partner App,4,T25
R20320,2025-01-04,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,4,T01
R20321,2025-01-04,Bella Roma,Lunch,Sparkling Water,Drinks,1,4,4,Online,2,T12
R20600,2025-01-04,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Phone,1,T07
R20683,2025-01-04,La Trattoria,Dinner,Quattro Stagioni,Pizza,3,18,54,Online,3,T13
R20768,2025-01-04,Il Capriccio,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,5,T22
R21009,2025-01-04,La Trattoria,Dinner,Diavola,Pizza,1,16,16,Phone,2,T20
R21145,2025-01-04,Bella Roma,Lunch,House Wine,Drinks,1,12,12,Online,4,T25
R20118,2025-01-05,Il Capriccio,Lunch,Panna Cotta,Dessert,2,7,14,Online,2,T21
R20405,2025-01-05,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,2,T21
R20434,2025-01-05,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,6,T01
R20493,2025-01-05,Bella Roma,Dinner,Panna Cotta,Dessert,1,7,7,Online,1,T23
R20513,2025-01-05,La Trattoria,Lunch,Lasagna,Pasta,3,18,54,Online,3,T01
R20533,2025-01-05,Il Capriccio,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,4,T19
R20564,2025-01-05,Il Capriccio,Lunch,Margherita Pizza,Pizza,1,14,14,Partner App,2,T14
R20648,2025-01-05,La Trattoria,Lunch,Penne Arrabbiata,Pasta,2,14,28,Partner App,2,T25
R20685,2025-01-05,Bella Roma,Lunch,Sparkling Water,Drinks,2,4,8,Online,2,T07
R20778,2025-01-05,La Trattoria,Dinner,Espresso,Drinks,1,3,3,Walk-in,2,T24
R20829,2025-01-05,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Online,1,T24
R21084,2025-01-05,Il Capriccio,Lunch,Gelato,Dessert,2,6,12,Online,4,T20
R21185,2025-01-05,La Trattoria,Dinner,Gelato,Dessert,1,6,6,Walk-in,4,T25
