order_id,order_date,store_location,drink_name,drink_type,quantity,unit_price,revenue,payment_method,customer_type,customer_id
ORD10410,2024-01-01,Chicago,Chai Latte,hot,1,6.6,6.6,Cash,First-time,C0580
ORD10798,2024-01-01,Brooklyn,Cold Brew,cold,3,5.0,15.0,Credit Card,Member,C0437
ORD11208,2024-01-01,Austin,Hot Chocolate,hot,2,4.5,9.0,Credit Card,First-time,C0563
ORD11945,2024-01-01,Seattle,Americano,hot,3,5.6,16.8,Google Pay,Regular,C0274
ORD12138,2024-01-01,Queens,Hot Chocolate,hot,2,4.5,9.0,Credit Card,First-time,C0276
ORD12527,2024-01-01,Seattle,Espresso,hot,4,3.5,14.0,Google Pay,Regular,C0313
ORD12555,2024-01-01,Austin,Matcha Latte,hot,2,8.4,16.8,Cash,First-time,C0798
ORD12833,2024-01-01,Austin,Latte,hot,4,5.5,22.0,Cash,Regular,C0069
ORD10472,2024-01-02,Brooklyn,Cappuccino,hot,2,6.0,12.0,Cash,Regular,C0799
ORD10762,2024-01-02,Boston,Cappuccino,hot,1,7.0,7.0,Apple Pay,Member,C0699
ORD11273,2024-01-02,Queens,Hot Chocolate,hot,1,6.3,6.3,Credit Card,Regular,C0224
ORD11492,2024-01-02,Seattle,Espresso,hot,1,4.9,4.9,Cash,Regular,C0169
ORD11509,2024-01-02,Portland,Matcha Latte,hot,1,6.0,6.0,Credit Card,First-time,C0475
ORD12263,2024-01-02,Chicago,Frappuccino,cold,2,6.5,13.0,Apple Pay,Regular,C0454
ORD12554,2024-01-02,Manhattan,Iced Coffee,cold,2,4.5,9.0,Cash,First-time,C0727
ORD12741,2024-01-02,Queens,Frappuccino,cold,1,6.5,6.5,Cash,Member,C0115
ORD12988,2024-01-02,Austin,Latte,hot,1,6.6,6.6,Apple Pay,First-time,C0321
ORD10458,2024-01-03,Portland,Espresso,hot,2,3.5,7.0,Cash,Member,C0782
ORD10558,2024-01-03,Manhattan,Chai Latte,hot,1,6.6,6.6,Google Pay,First-time,C0211
ORD10779,2024-01-03,Seattle,Espresso,hot,1,4.2,4.2,Credit Card,First-time,C0371
ORD10816,2024-01-03,Austin,Hot Chocolate,hot,2,5.4,10.8,Apple Pay,First-time,C0683
ORD12050,2024-01-03,Portland,Hot Chocolate,hot,1,6.3,6.3,Google Pay,Regular,C0529
ORD12082,2024-01-03,Boston,Espresso,hot,1,3.5,3.5,Cash,Member,C0048
ORD10023,2024-01-04,Manhattan,Espresso,hot,1,3.5,3.5,Apple Pay,Regular,C0527
ORD10163,2024-01-04,Portland,Espresso,hot,2,4.2,8.4,Apple Pay,Member,C0123
ORD10164,2024-01-04,Chicago,Americano,hot,1,4.8,4.8,Cash,First-time,C0573
ORD11114,2024-01-04,Portland,Frappuccino,cold,1,6.5,6.5,Google Pay,Member,C0380
ORD11817,2024-01-04,Brooklyn,Chai Latte,hot,3,6.6,19.8,Cash,Member,C0218
ORD11980,2024-01-04,Boston,Cappuccino,hot,1,5.0,5.0,Credit Card,First-time,C0140
ORD12026,2024-01-04,Austin,Latte,hot,1,6.6,6.6,Google Pay,Regular,C0087
ORD12148,2024-01-04,Portland,Hot Chocolate,hot,2,6.3,12.6,Credit Card,Regular,C0493
ORD12382,2024-01-04,Austin,Frappuccino,cold,1,9.1,9.1,Google Pay,Member,C0580
ORD12564,2024-01-04,Brooklyn,Hot Chocolate,hot,2,4.5,9.0,Credit Card,First-time,C0131
ORD12775,2024-01-04,Manhattan,Hot Chocolate,hot,1,6.3,6.3,Cash,Member,C0205
ORD10234,2024-01-05,Brooklyn,Cold Brew,cold,1,5.0,5.0,Apple Pay,Member,C0375
ORD10379,2024-01-05,Seattle,Mocha,hot,1,6.0,6.0,Cash,Member,C0378
ORD10611,2024-01-05,Brooklyn,Americano,hot,1,4.0,4.0,Google Pay,Member,C0511
ORD11178,2024-01-05,Chicago,Frappuccino,cold,1,7.8,7.8,Cash,Member,C0127
ORD11186,2024-01-05,Boston,Mocha,hot,1,6.0,6.0,Google Pay,Regular,C0633
ORD11347,2024-01-05,Queens,Frappuccino,cold,2,7.8,15.6,Apple Pay,First-time,C0572
ORD11520,2024-01-05,Chicago,Frappuccino,cold,1,7.8,7.8,Credit Card,Regular,C0367
ORD11595,2024-01-05,Chicago,Cappuccino,hot,2,6.0,12.0,Cash,First-time,C0651
ORD11770,2024-01-05,Manhattan,Smoothie,cold,2,9.8,19.6,Credit Card,Regular,C0597
ORD11958,2024-01-05,Austin,Smoothie,cold,1,8.4,8.4,Apple Pay,Regular,C0108
ORD12279,2024-01-05,Chicago,Americano,hot,3,4.0,12.0,Cash,Member,C0186
ORD12570,2024-01-05,Boston,Smoothie,cold,1,7.0,7.0,Credit Card,Member,C0275
ORD12654,2024-01-05,Manhattan,Chai Latte,hot,3,7.7,23.1,Apple Pay,Regular,C0525
ORD10843,2024-01-06,Brooklyn,Cappuccino,hot,3,5.0,15.0,Cash,Regular,C0687
ORD11725,2024-01-06,Chicago,Cold Brew,cold,1,7.0,7.0,Google Pay,Member,C0615
ORD11726,2024-01-06,Chicago,Latte,hot,2,6.6,13.2,Cash,Regular,C0653
ORD11803,2024-01-06,Portland,Espresso,hot,1,3.5,3.5,Google Pay,Regular,C0378
ORD11923,2024-01-06,Queens,Smoothie,cold,2,7.0,14.0,Credit Card,First-time,C0224
ORD12037,2024-01-06,Manhattan,Hot Chocolate,hot,2,6.3,12.6,Credit Card,Regular,C0331
ORD12509,2024-01-06,Chicago,Americano,hot,2,4.8,9.6,Apple Pay,Member,C0256
ORD12788,2024-01-06,Portland,Chai Latte,hot,1,5.5,5.5,Google Pay,Regular,C0260
ORD12816,2024-01-06,Brooklyn,Mocha,hot,1,7.2,7.2,Credit Card,First-time,C0656
ORD10506,2024-01-07,Portland,Espresso,hot,2,4.2,8.4,Google Pay,Regular,C0649
ORD10747,2024-01-07,Boston,Cold Brew,cold,2,7.0,14.0,Credit Card,Regular,C0545
ORD11218,2024-01-07,Manhattan,Cappuccino,hot,1,7.0,7.0,Credit Card,Regular,C0143
ORD11337,2024-01-07,Boston,Cold Brew,cold,1,5.0,5.0,Apple Pay,Regular,C0175
ORD11537,2024-01-07,Austin,Americano,hot,1,4.0,4.0,Google Pay,Regular,C0498
ORD11671,2024-01-07,Boston,Espresso,hot,1,3.5,3.5,Google Pay,First-time,C0273
ORD12295,2024-01-07,Manhattan,Cappuccino,hot,2,5.0,10.0,Cash,Regular,C0262
ORD12368,2024-01-07,Brooklyn,Latte,hot,1,5.5,5.5,Credit Card,Regular,C0439
ORD12583,2024-01-07,Manhattan,Espresso,hot,1,3.5,3.5,Google Pay,First-time,C0413
ORD12629,2024-01-07,Austin,Espresso,hot,1,3.5,3.5,Credit Card,Regular,C0590
ORD12842,2024-01-07,Portland,Mocha,hot,2,8.4,16.8,Apple Pay,Regular,C0205
ORD12936,2024-01-07,Chicago,Iced Coffee,cold,1,5.4,5.4,Credit Card,Member,C0290
ORD10258,2024-01-08,Austin,Mocha,hot,1,7.2,7.2,Cash,First-time,C0655
ORD11275,2024-01-08,Austin,Latte,hot,1,5.5,5.5,Credit Card,First-time,C0512
ORD11432,2024-01-08,Brooklyn,Cold Brew,cold,1,6.0,6.0,Google Pay,First-time,C0104
ORD11641,2024-01-08,Seattle,Cappuccino,hot,1,5.0,5.0,Google Pay,Member,C0426
ORD11830,2024-01-08,Brooklyn,Smoothie,cold,1,9.8,9.8,Apple Pay,Member,C0024
ORD12992,2024-01-08,Manhattan,Espresso,hot,2,3.5,7.0,Apple Pay,First-time,C0414
ORD10144,2024-01-09,Portland,Latte,hot,1,6.6,6.6,Credit Card,First-time,C0066
ORD10289,2024-01-09,Chicago,Mocha,hot,1,6.0,6.0,Google Pay,First-time,C0252
ORD10294,2024-01-09,Chicago,Latte,hot,1,6.6,6.6,Apple Pay,Regular,C0515
ORD11506,2024-01-09,Austin,Smoothie,cold,1,9.8,9.8,Apple Pay,First-time,C0015
ORD11618,2024-01-09,Chicago,Latte,hot,4,7.7,30.8,Apple Pay,First-time,C0504
ORD11848,2024-01-09,Portland,Cappuccino,hot,1,7.0,7.0,Credit Card,Regular,C0260
ORD12094,2024-01-09,Portland,Latte,hot,3,7.7,23.1,Credit Card,Regular,C0712
ORD12212,2024-01-09,Austin,Cold Brew,cold,4,6.0,24.0,Google Pay,Member,C0434
ORD12959,2024-01-09,Brooklyn,Smoothie,cold,1,7.0,7.0,Apple Pay,First-time,C0217
ORD10072,2024-01-10,Manhattan,Iced Coffee,cold,1,4.5,4.5,Credit Card,Regular,C0254
ORD10461,2024-01-10,Manhattan,Hot Chocolate,hot,2,4.5,9.0,Apple Pay,Member,C0133
ORD10625,2024-01-10,Austin,Chai Latte,hot,1,6.6,6.6,Google Pay,Regular,C0537
ORD12787,2024-01-10,Seattle,Cappuccino,hot,1,5.0,5.0,Credit Card,Member,C0702
ORD12826,2024-01-10,Portland,Cold Brew,cold,1,6.0,6.0,Cash,Member,C0313
ORD10883,2024-01-11,Brooklyn,Iced Coffee,cold,2,6.3,12.6,Google Pay,Member,C0688
ORD11148,2024-01-11,Boston,Cappuccino,hot,1,6.0,6.0,Credit Card,Regular,C0675
ORD11466,2024-01-11,Brooklyn,Matcha Latte,hot,1,7.2,7.2,Cash,Member,C0309
