order_id,order_date,customer_id,customer_region,customer_age_group,customer_gender,product_id,product_name,category,channel,quantity,unit_price,revenue
ORD11639,2024-01-12,U00459,华东,26-35,女,P007,面霜,美妆,天猫,1,194.49,194.49
ORD12195,2024-01-12,U00616,西南,26-35,女,P001,无线耳机,电子,抖音,1,260.81,260.81
ORD11131,2024-01-18,U00302,华中,26-35,男,P002,智能手表,电子,抖音,4,892.59,3570.36
ORD11777,2024-01-19,U00501,华中,55+,女,P007,面霜,美妆,天猫,1,188.97,188.97
ORD12116,2024-01-19,U00591,华东,36-45,女,P009,咖啡豆,食品,京东,3,75.04,225.12
ORD10307,2024-01-20,U00083,华东,26-35,男,P007,面霜,美妆,天猫,1,169.63,169.63
ORD10984,2024-01-20,U00256,西北,26-35,男,P007,面霜,美妆,拼多多,1,170.8,170.8
ORD13578,2024-01-20,U01010,华中,36-45,男,P005,瑜伽垫,运动,天猫,1,121.16,121.16
ORD15226,2024-01-26,U01442,西南,18-25,男,P005,瑜伽垫,运动,天猫,1,113.62,113.62
ORD14529,2024-01-27,U01255,华东,26-35,男,P007,面霜,美妆,线下门店,1,198.22,198.22
ORD11246,2024-01-29,U00335,华北,55+,女,P005,瑜伽垫,运动,京东,1,116.0,116.0
ORD13766,2024-01-30,U01057,西南,46-55,女,P006,跑步鞋,运动,天猫,2,597.24,1194.48
ORD11500,2024-01-31,U00411,华北,36-45,男,P009,咖啡豆,食品,线下门店,2,68.1,136.2
ORD14641,2024-01-31,U01285,西北,26-35,女,P005,瑜伽垫,运动,抖音,3,125.69,377.07
ORD14783,2024-01-31,U01330,华南,18-25,女,P004,保温杯,家居,天猫,2,86.4,172.8
ORD11116,2024-02-01,U00298,华南,26-35,男,P005,瑜伽垫,运动,天猫,1,121.94,121.94
ORD14605,2024-02-01,U01277,华南,26-35,女,P010,坚果礼盒,食品,抖音,1,159.3,159.3
ORD15032,2024-02-04,U01395,华北,18-25,女,P009,咖啡豆,食品,拼多多,1,76.31,76.31
ORD13681,2024-02-05,U01035,西北,18-25,女,P007,面霜,美妆,天猫,2,172.64,345.28
ORD11118,2024-02-06,U00299,华东,26-35,女,P007,面霜,美妆,抖音,1,184.23,184.23
ORD12745,2024-02-08,U00778,华东,26-35,女,P007,面霜,美妆,京东,2,186.91,373.82
ORD13070,2024-02-08,U00866,西南,18-25,女,P001,无线耳机,电子,拼多多,2,259.33,518.66
ORD10388,2024-02-09,U00104,西南,46-55,女,P009,咖啡豆,食品,天猫,2,69.97,139.94
ORD12451,2024-02-11,U00688,西南,26-35,女,P008,口红,美妆,京东,1,146.66,146.66
ORD12998,2024-02-12,U00840,西南,36-45,男,P005,瑜伽垫,运动,线下门店,1,115.42,115.42
ORD10374,2024-02-13,U00100,华东,18-25,男,P009,咖啡豆,食品,京东,2,67.57,135.14
ORD11967,2024-02-13,U00558,西北,36-45,男,P008,口红,美妆,京东,2,142.34,284.68
ORD10086,2024-02-14,U00019,华北,36-45,女,P007,面霜,美妆,京东,2,176.25,352.5
ORD11891,2024-02-15,U00534,华东,46-55,女,P009,咖啡豆,食品,京东,2,77.51,155.02
ORD10537,2024-02-16,U00131,西北,36-45,女,P002,智能手表,电子,抖音,4,815.24,3260.96
ORD11175,2024-02-16,U00314,华东,46-55,女,P004,保温杯,家居,天猫,1,87.48,87.48
ORD14681,2024-02-17,U01300,华中,55+,男,P004,保温杯,家居,天猫,1,76.53,76.53
ORD10155,2024-02-18,U00048,华北,26-35,男,P007,面霜,美妆,抖音,1,180.94,180.94
ORD11562,2024-02-18,U00438,华东,46-55,女,P007,面霜,美妆,拼多多,1,175.02,175.02
ORD11602,2024-02-18,U00449,西南,26-35,男,P001,无线耳机,电子,京东,2,297.63,595.26
ORD13826,2024-02-18,U01072,西南,26-35,男,P004,保温杯,家居,拼多多,2,76.98,153.96
ORD14058,2024-02-18,U01125,华中,18-25,男,P006,跑步鞋,运动,京东,1,588.63,588.63
