transaction_id,purchase_date,category,product_name,channel,customer_age_group,customer_gender,quantity,unit_price,discount_rate,revenue,customer_id
TX50077,2024-06-01,Clothing,Sneakers,Marketplace,26-35,F,2,76.0,0.2,152.0,U00138
TX50180,2024-06-01,Beauty,Face Mask,Web,36-45,M,3,18,0,54,U00157
TX50453,2024-06-01,Home,Rug,Social Media,46-55,M,2,120,0,240,U00537
TX50474,2024-06-01,Home,Curtain,Social Media,56+,F,2,65,0,130,U00726
TX50593,2024-06-01,Books,Biography,Marketplace,46-55,M,2,28,0,56,U00048
TX50821,2024-06-01,Home,Lamp,Web,46-55,F,1,55,0,55,U00447
TX51876,2024-06-01,Books,Self-Help,Social Media,46-55,Other,1,22,0,22,U00045
TX52025,2024-06-01,Beauty,Hair Dryer,Mobile App,56+,F,1,52.0,0.2,52.0,U00808
TX52496,2024-06-01,Electronics,Headphones,Marketplace,36-45,M,3,89,0,267,U00388
TX50203,2024-06-02,Beauty,Face Mask,Mobile App,26-35,F,3,14.4,0.2,43.2,U00293
TX50505,2024-06-02,Electronics,Phone Case,Marketplace,46-55,F,1,25,0,25,U00779
TX51170,2024-06-02,Electronics,Headphones,Marketplace,36-45,F,2,89,0,178,U00606
TX52499,2024-06-02,Beauty,Face Mask,Mobile App,26-35,F,1,18,0,18,U00056
TX50012,2024-06-03,Electronics,Headphones,Social Media,56+,F,1,89,0,89,U00299
TX50110,2024-06-03,Clothing,Sneakers,Mobile App,36-45,F,1,95,0,95,U00764
TX50234,2024-06-03,Electronics,Headphones,Mobile App,18-25,F,3,71.2,0.2,213.6,U00738
TX50615,2024-06-03,Home,Bedsheet,Mobile App,56+,Other,3,45,0,135,U00329
TX51513,2024-06-03,Books,Tech Manual,Social Media,26-35,F,1,45,0,45,U00682
TX51629,2024-06-03,Books,Self-Help,Mobile App,36-45,Other,1,22,0,22,U00017
TX51720,2024-06-03,Home,Pillow,Marketplace,46-55,Other,1,24.5,0.3,24.5,U00027
TX51801,2024-06-03,Electronics,Phone Case,Social Media,46-55,M,1,25,0,25,U00275
TX52335,2024-06-03,Electronics,Phone Case,Web,56+,Other,1,25,0,25,U00874
TX50825,2024-06-04,Home,Bedsheet,Social Media,56+,Other,1,31.5,0.3,31.5,U00723
TX51125,2024-06-04,Beauty,Hair Dryer,Mobile App,46-55,Other,1,58.5,0.1,58.5,U00135
TX51165,2024-06-04,Home,Curtain,Social Media,18-25,Other,1,65,0,65,U00132
TX51209,2024-06-04,Electronics,Headphones,Web,46-55,Other,1,89,0,89,U00512
TX51396,2024-06-04,Electronics,Smart Watch,Social Media,56+,Other,2,139.3,0.3,278.6,U00195
TX51420,2024-06-04,Books,Tech Manual,Marketplace,56+,Other,2,36.0,0.2,72.0,U00627
TX51551,2024-06-04,Home,Lamp,Social Media,46-55,F,3,44.0,0.2,132.0,U00537
TX52136,2024-06-04,Home,Curtain,Web,56+,M,2,65,0,130,U00663
TX52175,2024-06-04,Beauty,Skincare Set,Social Media,18-25,Other,3,71.2,0.2,213.6,U00581
TX50326,2024-06-05,Electronics,Charger,Mobile App,56+,F,1,35,0,35,U00714
TX50370,2024-06-05,Beauty,Lipstick,Marketplace,18-25,Other,1,22,0,22,U00688
TX50517,2024-06-05,Home,Curtain,Social Media,18-25,Other,2,65,0,130,U00631
TX52063,2024-06-05,Home,Bedsheet,Social Media,18-25,Other,1,45,0,45,U00490
TX52135,2024-06-05,Books,Self-Help,Marketplace,26-35,M,1,22,0,22,U00348
TX50604,2024-06-06,Beauty,Perfume,Mobile App,18-25,Other,1,77.0,0.3,77.0,U00255
TX50957,2024-06-06,Home,Lamp,Marketplace,46-55,M,1,44.0,0.2,44.0,U00765
TX51120,2024-06-06,Home,Rug,Mobile App,26-35,Other,3,120,0,360,U00733
